---,AmbushNpcReference
0,Black_Hand_Fighter_3_Cimmerian
1,Black_Hand_Fighter_3_Kushite
2,Black_Hand_Fighter_3_Nordheimer
3,Black_Hand_Fighter_3_Shemite
4,Black_Hand_Fighter_3_Stygian
5,Black_Hand_Fighter_3_Zamorian
6,Black_Hand_Fighter_3_Zingarian
7,Black_Hand_Pir_Fighter_3_Cimmerian
8,Black_Hand_Pir_Fighter_3_Kushite
9,Black_Hand_Pir_Fighter_3_Nordheimer
10,Black_Hand_Pir_Fighter_3_Shemite
11,Black_Hand_Pir_Fighter_3_Stygian
12,Black_Hand_Pir_Fighter_3_Zamorian
13,Black_Hand_Pir_Fighter_3_Zingarian
14,Black_Hand_Archer_3_Hyborian
15,Black_Hand_Archer_3_Hyrkanian
16,Black_Hand_Archer_3_Kushite
17,Black_Hand_Archer_3_Shemite
18,Black_Hand_Archer_3_Stygian
19,Black_Hand_Archer_3_Zamorian
20,Black_Hand_Archer_3_Zingarian
21,Black_Hand_Pir_Archer_3_Hyborian
22,Black_Hand_Pir_Archer_3_Hyrkanian
23,Black_Hand_Pir_Archer_3_Kushite
24,Black_Hand_Pir_Archer_3_Shemite
25,Black_Hand_Pir_Archer_3_Stygian
26,Black_Hand_Pir_Archer_3_Zamorian
27,Black_Hand_Pir_Archer_3_Zingarian
