---,AmbushNpcReference
0,Black_Hand_Archer_2_Cimmerian
1,Black_Hand_Archer_2_Darfari
2,Black_Hand_Archer_2_Hyborian
3,Black_Hand_Archer_2_Hyrkanian
4,Black_Hand_Archer_2_Kushite
5,Black_Hand_Archer_2_Nordheimer
6,Black_Hand_Archer_2_Shemite
7,Black_Hand_Archer_2_Stygian
8,Black_Hand_Archer_2_Zamorian
9,Black_Hand_Archer_2_Zingarian
10,Black_Hand_Pir_Archer_2_Cimmerian
11,Black_Hand_Pir_Archer_2_Darfari
12,Black_Hand_Pir_Archer_2_Hyborian
13,Black_Hand_Pir_Archer_2_Hyrkanian
14,Black_Hand_Pir_Archer_2_Kushite
15,Black_Hand_Pir_Archer_2_Nordheimer
16,Black_Hand_Pir_Archer_2_Shemite
17,Black_Hand_Pir_Archer_2_Stygian
18,Black_Hand_Pir_Archer_2_Zamorian
19,Black_Hand_Pir_Archer_2_Zingarian
20,Black_Hand_Fighter_2_Cimmerian
21,Black_Hand_Fighter_2_Darfari
22,Black_Hand_Fighter_2_Hyborian
23,Black_Hand_Fighter_2_Hyrkanian
24,Black_Hand_Fighter_2_Kushite
25,Black_Hand_Fighter_2_Nordheimer
26,Black_Hand_Fighter_2_Shemite
27,Black_Hand_Fighter_2_Stygian
28,Black_Hand_Fighter_2_Zamorian
29,Black_Hand_Fighter_2_Zingarian
30,Black_Hand_Pir_Fighter_2_Cimmerian
31,Black_Hand_Pir_Fighter_2_Darfari
32,Black_Hand_Pir_Fighter_2_Hyborian
33,Black_Hand_Pir_Fighter_2_Hyrkanian
34,Black_Hand_Pir_Fighter_2_Kushite
35,Black_Hand_Pir_Fighter_2_Nordheimer
36,Black_Hand_Pir_Fighter_2_Shemite
37,Black_Hand_Pir_Fighter_2_Stygian
38,Black_Hand_Pir_Fighter_2_Zamorian
39,Black_Hand_Pir_Fighter_2_Zingarian
