---,AmbushNpcReference
0,Exile_Archer_2_Cimmerian
1,Exile_Archer_2_Darfari
2,Exile_Archer_2_Hyborian
3,Exile_Archer_2_Hyrkanian
4,Exile_Archer_2_Kushite
5,Exile_Archer_2_Nordheimer
6,Exile_Archer_2_Shemite
7,Exile_Archer_2_Stygian
8,Exile_Archer_2_Zamorian
9,Exile_Archer_2_Zingarian
10,Exile_Fighter_2_Cimmerian
11,Exile_Fighter_2_Darfari
12,Exile_Fighter_2_Hyborian
13,Exile_Fighter_2_Hyrkanian
14,Exile_Fighter_2_Kushite
15,Exile_Fighter_2_Nordheimer
16,Exile_Fighter_2_Shemite
17,Exile_Fighter_2_Stygian
18,Exile_Fighter_2_Zamorian
19,Exile_Fighter_2_Zingarian
