---,AmbushNpcReference
0,Exile_Archer_1_Cimmerian
1,Exile_Fighter_1_Cimmerian
2,Exile_Archer_1_Darfari
3,Exile_Fighter_1_Darfari
4,Exile_Archer_1_Hyborian
5,Exile_Fighter_1_Hyborian
6,Exile_Archer_1_Kushite
7,Exile_Fighter_1_Kushite
8,Exile_Archer_1_Hyrkanian
9,Exile_Fighter_1_Hyrkanian
10,Exile_Archer_1_Nordheimer
11,Exile_Fighter_1_Nordheimer
12,Exile_Archer_1_Shemite
13,Exile_Fighter_1_Shemite
14,Exile_Archer_1_Stygian
15,Exile_Fighter_1_Stygian
16,Exile_Archer_1_Zamorian
17,Exile_Fighter_1_Zamorian
18,Exile_Archer_1_Zingarian
19,Exile_Fighter_1_Zingarian
