---,FeatName,Description,Icon,IconOverlay,GiveOnSpawn,LevelRequirement,FeatCost,Categories,PrerequisiteFeat,RewardRecipe,ShowInFeatWindow,CornerStoneLevel,DLCPackage
1,"NSLOCTEXT("""", ""FeatTable_1_FeatName"", ""Survivalist"")","NSLOCTEXT("""", ""FeatTable_1_Description"", ""XX_Desc: Survivalist"")","/Game/UI/Textures/Icons/icon_water_skin.icon_water_skin","None","True","1","0","(Survival)","","(41032,41031,80112,80111,14174)","True","1","None"
2,"NSLOCTEXT("""", ""FeatTable_2_FeatName"", ""Apprentice Mason"")","NSLOCTEXT("""", ""FeatTable_2_Description"", ""XX_Desc: Apprentice Mason"")","/Game/UI/Textures/Icons/Icon_Foundation-1.Icon_Foundation-1","None","False","3","1","(Construction)","","(90001,51031,90002,90003,90004,90008,90009,90007,90006,90011,90018,90014,90013,90015,90017,90023,90026,90294,90299)","True","10","None"
3,"NSLOCTEXT("""", ""FeatTable_3_FeatName"", ""Bruiser"")","NSLOCTEXT("""", ""FeatTable_3_Description"", ""XX_Desc: Bruiser"")","/Game/UI/Textures/Icons/icon_exile_stone_maul.icon_exile_stone_maul","None","False","8","2","(Combat)","","(51152,51715,51043)","True","30","None"
4,"NSLOCTEXT("""", ""FeatTable_4_FeatName"", ""Warrior"")","NSLOCTEXT("""", ""FeatTable_4_Description"", ""XX_Desc: Warrior"")","/Game/UI/Textures/Icons/icon_primal_sword-1.icon_primal_sword-1","None","False","4","1","(Combat)","","(51801,51301)","True","10","None"
6,"NSLOCTEXT("""", ""FeatTable_6_FeatName"", ""Archer"")","NSLOCTEXT("""", ""FeatTable_6_Description"", ""XX_Desc: Archer"")","/Game/UI/Textures/Icons/icon_basic_wood_bow.icon_basic_wood_bow","None","False","5","2","(Combat)","","(51401,53611,51184,53612)","True","50","None"
7,"NSLOCTEXT("""", ""FeatTable_7_FeatName"", ""Arbelist"")","NSLOCTEXT("""", ""FeatTable_7_Description"", ""XX_Desc: Arbelist"")","/Game/UI/Textures/Icons/icon_crossbow-1.icon_crossbow-1","None","False","15","4","(Combat)","(6,11,51000)","(51451,53512,53612,53511)","False","0","None"
8,"NSLOCTEXT("""", ""FeatTable_8_FeatName"", ""Armorer"")","NSLOCTEXT("""", ""FeatTable_8_Description"", ""XX_Desc: Armorer"")","/Game/UI/Textures/Icons/icon_light_exile_armor.icon_light_exile_armor","None","False","10","3","(Armor)","(52202,50000)","(89201,52921,52922,52932,52933,52934,52911,52912,52913,52914,52915,52916,52917,52918,52919,52920,52001,52002,52003,52004,52005,52011,52012,52013,52014,52015,52021,52022,52023,52024,52025,12001,12002,12003,11069,11071,11072,11073,11094,11095,11096,11099)","True","10","None"
9,"NSLOCTEXT("""", ""FeatTable_9_FeatName"", ""Tanner"")","NSLOCTEXT("""", ""FeatTable_9_Description"", ""XX_Desc: Tanner"")","/Game/UI/Textures/Icons/icon_tannery.icon_tannery","None","False","10","3","(Survival)","(50000)","(89104,42001)","True","0","None"
10,"NSLOCTEXT("""", ""FeatTable_10_FeatName"", ""Blacksmith"")","NSLOCTEXT("""", ""FeatTable_10_Description"", ""XX_Desc: Blacksmith"")","/Game/UI/Textures/Icons/icon_furnace.icon_furnace","None","False","10","3","(Survival)","(50000)","(89101,89301,16002,16004,16005,16006,14601)","True","0","None"
11,"NSLOCTEXT("""", ""FeatTable_11_FeatName"", ""Carpenter"")","NSLOCTEXT("""", ""FeatTable_11_Description"", ""XX_Desc: Carpenter"")","/Game/UI/Textures/Icons/icon_woodworking_bench.icon_woodworking_bench","None","False","10","3","(Survival)","(50000)","(89401,16021,80301,80302)","True","0","None"
