---,Name,ShortDesc,LongDesc,Icon,ItemClass,BuildingClass,VisualObject,ActionBlueprint_Use,MaxStackSize,EquipLocation,GUICategory,ArmourValue,ArmorType,SoundPhysicalSurface,WeaponType,WeaponArcheType,CompatableAmmunitions,SoundTransmitterType,KnockbackResponseWeapon,WeaponStaminaAttackSingleBasic,WeaponStaminaAttackSingleSpecial,WeaponStaminaAttackDualBasic,WeaponStaminaAttackDualSpecial,WeaponStaminaHeavyChargedRegenModifier,WeaponSpeedHeavyChargedModifier,EncumbranceWeight,ConeAngle,ConeMaxDistance,DamageHealthLight_OnHit,DamageHealthHeavy_OnHit,DamageStaminaLight_OnHit,DamageStaminaHeavy_OnHit,DamageHealthLight_OnBlock,DamageHealthHeavy_OnBlock,DamageStaminaLight_OnBlock,DamageStaminaHeavy_OnBlock,HarvestDamage,WeaponUsage,MaxAttackReach,MinAttackReach,MinAttackDistance,WeaponEffectWidth,WeaponEffectHeight,ItemTier,ArmorPen,DamageConcussiveLightOnHit,DamageConcussiveHeavyOnHit,DamageConcussiveLightOnBlock,DamageConcussiveHeavyOnBlock,DamageTier,CoolDownTime,ReuseTime,SelectionWeight,KnockbackOffenseBasic,KnockbackOffenseSpecial,KnockbackOffenseBasicOnBlock,KnockbackOffenseSpecialOnBlock,KnockbackDefense,VisualStaticMesh,VisualSkeletalMesh,VisualDestructibleMesh,WeaponStatusDefault,WeaponStatusCurrent,WeaponStatusDecrement,PerishRate,PerishTo,MaxDurability,RepairItem1,RepairItem1_Amount,RepairItem1_Weight,RepairItem2,RepairItem2_Amount,RepairItem2_Weight,RepairItem3,RepairItem3_Amount,RepairItem3_Weight,AffectedByDamageTiers,BuildingPieceScore,BuildingMaxHealth,RepairXP,FirstModifier,SecondModifier,ThirdModifier,FourthModifier,FoodAmount,DrinkAmount,BurnTime,ItemFlags,ItemContainerSize,AvatarType,DyeColourID,WarPaintID,StaminaCostMultiplier,StaminaClimbingCostMultiplier,LeavesGhostItem,DLCPackage
18071,"NSLOCTEXT("""", ""ItemTable_18071_Name"", ""Absinthe"")","NSLOCTEXT("""", ""ItemTable_18071_ShortDesc"", ""Powerful liquor of a mystically green hue"")","NSLOCTEXT("""", ""ItemTable_18071_LongDesc"", ""<span style=\""italic\"">He was quick to laugh, quick and terrible in his wrath. He was a valiant trencherman, and strong drink was a passion and a weakness with him.</> - Queen of the Black Coast\n\nA powerful drink, often said to taste like a mixture of dessert and a death god\'s tears, absinthe is often mixed with water and sugar. Poets, artists, and mad revelers of the most decadent disposition swear by this green drink\'s reputed powers to cause visions and reveling bedlam. The Mad King of Ophir, Moranthes II, is said drink the stuff with every meal. Absinthe heavily heats the tongue."")","/Game/UI/Textures/Icons/icon_absinthe.icon_absinthe","/Game/Items/Hunger/BPGameItemFood_Brewing_Absinthe.BPGameItemFood_Brewing_Absinthe_C","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","20","0","Material","0.000000","0","0","None","None","","0","False","0","0","0","0","0.000000","0.000000","2.500000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","18211","1","1","14195","12","1","18001","4","1","0","0","0","165.000000","NSLOCTEXT("""", ""ItemTable_18071_FirstModifier"", ""High Grade"")","NSLOCTEXT("""", ""ItemTable_18071_SecondModifier"", ""Consumable"")","","","0","15","0.000000","1","0","None","-1","-1","1.000000","1.000000","False","None"
53652,"NSLOCTEXT("""", ""ItemTable_53652_Name"", ""Abysmal Arrows"")","NSLOCTEXT("""", ""ItemTable_53652_ShortDesc"", ""Arrows made with an Abysmal Fang"")","NSLOCTEXT("""", ""ItemTable_53652_LongDesc"", ""The fangs of the Abysmal Remnant are made of a hardened substance that can withstand strong acid. They are also razor sharp.\nArrows can be equipped by dragging them over the bow in the inventory. "")","/Game/UI/Textures/Icons/icon_sewerbeast_arrow.icon_sewerbeast_arrow","/Game/Items/Weapons/Bow/BP_Item_BowProjectileBase.BP_Item_BowProjectileBase_C","None","/Game/Items/Weapons/Bow/BP_Visual_BowProjectileBase.BP_Visual_BowProjectileBase_C","None","100","0","Consumable","0.000000","0","8","None","Ammunition","","21","False","0","0","0","0","0.000000","0.000000","0.100000","0.000000","0.000000","7","7","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.090000","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Bow/SM_sewer_arrow.SM_sewer_arrow","None","/Game/Items/Weapons/Bow/SM_sewer_arrow_DM.SM_sewer_arrow_DM","0","0","0","0.000000","0","-1.000000","0","0","0","0","0","0","11056","1","1","0","0","0","3.000000","NSLOCTEXT("""", ""ItemTable_53652_FirstModifier"", ""Mid Grade"")","NSLOCTEXT("""", ""ItemTable_53652_SecondModifier"", ""Projectile"")","","","0","0","0.000000","1","0","None","-1","-1","1.000000","1.000000","True","None"
53653,"NSLOCTEXT("""", ""ItemTable_53653_Name"", ""Abysmal Bolts"")","NSLOCTEXT("""", ""ItemTable_53653_ShortDesc"", ""Bolts made with an Abysmal Fang"")","NSLOCTEXT("""", ""ItemTable_53653_LongDesc"", ""The fangs of the Abysmal Remnant are made of a hardened substance that can withstand strong acid. They are also razor sharp. \nBolts can be equipped by dragging them over the bow in the inventory."")","/Game/UI/Textures/Icons/icon_sewerbeast_bolt.icon_sewerbeast_bolt","/Game/Items/Weapons/Crossbow/BP_Item_CrossbowProjectileBase.BP_Item_CrossbowProjectileBase_C","None","/Game/Items/Weapons/Crossbow/BP_Visual_CrossbowProjectileBase.BP_Visual_CrossbowProjectileBase_C","None","100","0","Consumable","0.000000","0","8","None","Ammunition","","21","False","0","0","0","0","0.000000","0.000000","0.100000","0.000000","0.000000","7","7","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.090000","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Crossbow/SM_sewer_bolt.SM_sewer_bolt","None","/Game/Items/Weapons/Crossbow/SM_sewer_bolt_DM.SM_sewer_bolt_DM","0","0","0","0.000000","0","-1.000000","0","0","0","0","0","0","0","0","0","0","0","0","3.000000","NSLOCTEXT("""", ""ItemTable_53653_FirstModifier"", ""Mid Grade"")","NSLOCTEXT("""", ""ItemTable_53653_SecondModifier"", ""Projectile"")","","","0","0","0.000000","5","0","None","-1","-1","1.000000","1.000000","True","None"
51957,"NSLOCTEXT("""", ""ItemTable_51957_Name"", ""Abysmal Daggers"")","NSLOCTEXT("""", ""ItemTable_51957_ShortDesc"", ""A pair of daggers crafted from the eye of the Abysmal Remnant"")","NSLOCTEXT("""", ""ItemTable_51957_LongDesc"", ""<span style=\""italic\"">He saw and knew the ancient and evil serpent which swayed there, its wedge-shaped head, huge as that of a horse, as high as a tall man\'s head, and its palely gleaming barrel rippling out behind it. A forked tongue darted in and out, and the firelight glittered on bared fangs.</> - Beyond the Black River\n\nAs far as trophies go, these dagger are amongst the most bizarre. Made with the hypnotic eye of the Abysmal Remnant embedded in the blade, it has a fearsome aspect but does not seem to have any specific powers beyond that. \n\nPerhaps in time, certain powers will reveal themselves."")","/Game/UI/Textures/Icons/icon_sewerbeast_dagger.icon_sewerbeast_dagger","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/Dagger_Offhand/BP_dagger_dw.BP_dagger_dw_C","None","1","8","Weapon","0.000000","0","9","Dagger","TwoHanded","","1","False","5","5","0","0","0.000000","1.000000","2.080000","35.000000","250.000000","16","16","0","0","0","0","0","0","0","33","180.000000","0.000000","0.000000","0.000000","0.000000","3","0.128250","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Dagger_Offhand/SM_ancient_dagger.SM_ancient_dagger","None","/Game/Items/Weapons/Dagger_Offhand/SM_ancient_dagger_DM.SM_ancient_dagger_DM","0","0","0","0.000000","0","390.000000","0","0","0","11501","8","1","12512","4","1","0","0","0","96.000000","NSLOCTEXT("""", ""ItemTable_51957_FirstModifier"", ""Mid Grade Exceptional"")","NSLOCTEXT("""", ""ItemTable_51957_SecondModifier"", ""Weapon"")","NSLOCTEXT("""", ""ItemTable_51957_ThirdModifier"", ""Bleed"")","","0","0","0.000000","1","0","None","-1","-1","1.000000","1.000000","False","None"
14185,"NSLOCTEXT("""", ""ItemTable_14185_Name"", ""Abysmal Eye"")","NSLOCTEXT("""", ""ItemTable_14185_ShortDesc"", ""An eye from the Abysmal Remnant"")","NSLOCTEXT("""", ""ItemTable_14185_LongDesc"", ""This eye seems to glow with an inhuman intelligence. The creature from which it was taken was of supernatural origin and this large, almost hypnotic eye explains how it could lure prey close enough to feast.\nWhile the properties of the eye seem to have passed with the death of the creature, it will still make for an impressive trophy."")","/Game/UI/Textures/Icons/icon_sewerbeast_eye.icon_sewerbeast_eye","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","20","0","Material","0.000000","0","2","None","None","","0","False","0","0","0","0","0.000000","0.000000","0.050000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","0","0","0","0","0","0","0","0","0","0","0.000000","NSLOCTEXT("""", ""ItemTable_14185_FirstModifier"", ""Mid Grade"")","","NSLOCTEXT("""", ""ItemTable_14185_ThirdModifier"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1","-1","1.000000","1.000000","False","None"
14186,"NSLOCTEXT("""", ""ItemTable_14186_Name"", ""Abysmal Fang"")","NSLOCTEXT("""", ""ItemTable_14186_ShortDesc"", ""A fang from the Abysmal Remnant"")","NSLOCTEXT("""", ""ItemTable_14186_LongDesc"", ""This fang, harvested from the corpse of the Abysmal Remnant, is made of an extremely hard substance. Due to the acidic environment in which the creature lived the material has developed several properties beyond regular ivory or bone which mean that it is durable"")","/Game/UI/Textures/Icons/icon_sewerbeast_fang.icon_sewerbeast_fang","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","20","0","Material","0.000000","0","2","None","None","","0","False","0","0","0","0","0.000000","0.000000","0.050000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","0","0","0","0","0","0","0","0","0","0","0.000000","NSLOCTEXT("""", ""ItemTable_14186_FirstModifier"", ""Mid Grade"")","","NSLOCTEXT("""", ""ItemTable_14186_ThirdModifier"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1","-1","1.000000","1.000000","False","None"
14187,"NSLOCTEXT("""", ""ItemTable_14187_Name"", ""Abysmal Flesh"")","NSLOCTEXT("""", ""ItemTable_14187_ShortDesc"", ""Flesh harvested from the Abysmal Remnant"")","NSLOCTEXT("""", ""ItemTable_14187_LongDesc"", ""This foul-smelling, acidic meat does not look or smell appetizing.\nConsidering the creature that it came from, and the environment where it was found, consuming this would be a foolhardy endeavor."")","/Game/UI/Textures/Icons/icon_tainted_flesh.icon_tainted_flesh","/Game/Items/Hunger/BPGameItemFood_CorruptedMeat.BPGameItemFood_CorruptedMeat_C","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","20","0","Material","0.000000","0","2","None","None","","0","False","0","0","0","0","0.000000","0.000000","0.100000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","2","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","0","0","0","0","0","0","0","0","0","0","0","0","0.000000","NSLOCTEXT("""", ""ItemTable_14187_FirstModifier"", ""Low Grade"")","","NSLOCTEXT("""", ""ItemTable_14187_ThirdModifier"", ""Ingredient"")","","0","0","0.000000","1","0","None","-1","-1","1.000000","1.000000","False","None"
51958,"NSLOCTEXT("""", ""ItemTable_51958_Name"", ""Abysmal Sword"")","NSLOCTEXT("""", ""ItemTable_51958_ShortDesc"", ""A sword crafted from the eye of Abysmal Remnant"")","NSLOCTEXT("""", ""ItemTable_51958_LongDesc"", ""<span style=\""italic\"">He saw and knew the ancient and evil serpent which swayed there, its wedge-shaped head, huge as that of a horse, as high as a tall man\'s head, and its palely gleaming barrel rippling out behind it. A forked tongue darted in and out, and the firelight glittered on bared fangs.</> - Beyond the Black River\n\nStaring long enough into the eye of the Abysmal Remnant, embedded in this sword, fills the mind with bizarre images.\n\nOnce, the Priestking made a pact with a demon from the outer void to inhabit some formed flesh that he was crafting. This was to be a weapon, used in the war against the human city in the north.\n\nThe experiment failed, the creature was born limbless and the experiment was abandoned. An acolyte of the Priestking tossed it into the sewer system, to drown in The Dregs.\n\nBut the creature did not die, and the demon was not freed. It found a pool where it could excrete the acid that it needed to survive. And then it reached out with its mind, looking for food.\n\nOver time, it grew and the rats and other vermin in the sewers were no long enough to sustain it..."")","/Game/UI/Textures/Icons/icon_sewerbeast_sword.icon_sewerbeast_sword","/Game/Items/BPGameItemWeapon.BPGameItemWeapon_C","None","/Game/Items/Weapons/Sword1h/sword1h.sword1h_C","None","1","1","Weapon","0.000000","0","9","Sword","OneHanded","","3","False","5","5","0","0","0.000000","1.000000","2.980000","35.000000","250.000000","19","19","0","0","0","0","0","0","0","33","180.000000","0.000000","0.000000","0.000000","0.000000","3","0.085500","0","0","0","0","Stone","0.000000","0.000000","0","10","10","0","0","0","/Game/Items/Weapons/Sword1h/SM_1h_exile_sewerbeast_sword.SM_1h_exile_sewerbeast_sword","None","/Game/Items/Weapons/Sword1h/SM_1h_exile_sewerbeast_sword.SM_1h_exile_sewerbeast_sword_DM","0","0","0","0.000000","0","585.000000","0","0","0","11501","15","1","12512","8","1","0","0","0","190.000000","NSLOCTEXT("""", ""ItemTable_51958_FirstModifier"", ""Mid Grade Flawless"")","NSLOCTEXT("""", ""ItemTable_51958_SecondModifier"", ""Weapon"")","NSLOCTEXT("""", ""ItemTable_51958_ThirdModifier"", ""Cripple"")","","0","0","0.000000","1","0","None","-1","-1","1.000000","1.000000","False","None"
80963,"NSLOCTEXT("""", ""ItemTable_80963_Name"", ""Abyss of Yog "")","NSLOCTEXT("""", ""ItemTable_80963_ShortDesc"", ""A sacrifice pit made for the glory of Yog"")","NSLOCTEXT("""", ""ItemTable_80963_LongDesc"", ""<span style=\""italic\"">He understood now the mystery of the strangers who had disappeared from the house of Aram Baksh; the riddle of the black drum thrumming out there beyond the palm groves, and of that pit of charred bones - that pit where strange meat might be roasted under the stars, while black beasts squatted about to glut a hideous hunger.</> - Shadows in Zamboula\n\nThe altars of Yog are crude sacrifice pits, lined with spikes and stones. Victims are hauled up to a rough stone platform and then uncerimonously booted into the pit. \n\nWhen the victim has finished shrieking, the worshippers of Yog gather and partake of the purified flesh.\n\nIt is said that the blessing of Yog falls upon anything within the pit. It is not uncommon to meet Yoggites who have smeared themselves with ashes from their sacrifice pits and decorated themselves with the bones of their victims."")","/Game/UI/Textures/Icons/icon_t3_alter_of_yog.icon_t3_alter_of_yog","/Script/ConanSandbox.BuildingItem","/Game/Systems/Building/Placeables/BP_PL_Altar_Yog_T3.BP_PL_Altar_Yog_T3_C","/Game/Items/GatheringResources/Rock1.Rock1_C","None","1","0","BuildingItem","0.000000","0","0","None","None","","0","False","0","0","0","0","0.000000","0.000000","25.000000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","3","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","-1.000000","16012","270","1","0","0","0","16021","135","1","30","233","300000","150822.000000","","","","","0","0","0.000000","1","100","None","-1","-1","1.000000","1.000000","False","None"
17113,"NSLOCTEXT("""", ""ItemTable_17113_Name"", ""Abyssal Violet Dye"")","NSLOCTEXT("""", ""ItemTable_17113_ShortDesc"", ""A flask of abyssal violet dye"")","NSLOCTEXT("""", ""ItemTable_17113_LongDesc"", ""This dye can be applied to textiles in order to color them. Different types of material will be affected differently by the dye, so the coloring of leather will appear differently to metals."")","/Game/UI/Textures/Icons/icon_dying_vial_AbyssalViolet.icon_dying_vial_AbyssalViolet","/Script/ConanSandbox.GameItem","None","/Game/Items/GatheringResources/Rock1.Rock1_C","None","100","0","Material","0.000000","0","0","None","None","","0","False","0","0","0","0","0.000000","0.000000","0.050000","0.000000","0.000000","0","0","0","0","0","0","0","0","0","0","0.000000","0.000000","0.000000","0.000000","0.000000","1","0.000000","0","0","0","0","Default","0.000000","0.000000","0","0","0","0","0","0","None","None","None","0","0","0","0.000000","0","0.000000","14201","1","1","18006","1","1","18005","1","1","0","0","0","106.000000","","","NSLOCTEXT("""", ""ItemTable_17113_ThirdModifier"", ""Ingredient"")","","0","0","0.000000","1","0","None","119","-1","1.000000","1.000000","False","None"
