---,Name,MaleRaceTemplate,FemaleRaceTemplate,EquipmentTemplates,ProfessionTemplate,StatTemplate,StatModifierTemplate,ComboPresets,NPCClass,BehaviorTree,AIController,NPCBehaviorParameters,LootTable,DistanceThresholdRangedWeapon,DistanceThresholdMeleeWeapon,BlockActionMinDuration,BlockOnAttackedMinDuration,BlockMaxDuration,BlockChance,BlockChanceWhenAttacked
1_None,"NSLOCTEXT("""", ""SpawnDataTable_1_None_Name"", ""DO NOT USE"")","(RaceTemplate=""Race_CimmerianMale"",Weight=50.000000)","(RaceTemplate=""Race_CimmerianFemale"",Weight=50.000000)","(""Exile_Armor_Coarse"",""Generic_Weapon_Unarmed"")","Default","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
AltarAxe-grinder,"NSLOCTEXT("""", ""SpawnDataTable_AltarAxe-grinder_Name"", ""Altar Axe-grinder"")","(RaceTemplate=""AltarAxe-grinder"",Weight=100.000000)","(RaceTemplate=""AltarAxe-grinder"",Weight=0.000000)","(""BlackHand_Armor_Tanner_Low"",""BlackHand_Weapon"")","Carpenter_4_Purge","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter_20percentbigger_boss.HumanoidNPCCharacter_20percentbigger_boss_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T4.P_M_Blackhand_T4',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
ArtificerGalen,"NSLOCTEXT("""", ""SpawnDataTable_ArtificerGalen_Name"", ""Artificer Galen"")","(RaceTemplate=""ArtificerGalen"",Weight=100.000000)","(RaceTemplate=""ArtificerGalen"",Weight=0.000000)","(""BlackHand_Armor_Tanner_Low"",""BlackHand_Weapon"")","Blacksmith_4_Purge","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter_20percentbigger_boss.HumanoidNPCCharacter_20percentbigger_boss_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T4.P_M_Blackhand_T4',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
AtlartheSwarthy,"NSLOCTEXT("""", ""SpawnDataTable_AtlartheSwarthy_Name"", ""Atlar the Swarthy"")","(RaceTemplate=""AtlartheSwarthy"",Weight=100.000000)","(RaceTemplate=""AtlartheSwarthy"",Weight=0.000000)","(""BlackHand_Armor_Tanner_Low"",""BlackHand_Weapon"")","Alchemist_4_Purge","All Thralls Base","(""Blackhand_Pir_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter_20percentbigger_boss.HumanoidNPCCharacter_20percentbigger_boss_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T4.P_M_Blackhand_T4',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Cimmerian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Cimmerian_Name"", ""Cimmerian Alchemist I"")","(RaceTemplate=""Race_CimmerianMale"",Weight=75.000000)","(RaceTemplate=""Race_CimmerianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Darfari,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Darfari_Name"", ""Darfari Medicine Man I"")","(RaceTemplate=""Race_DarfariMale"",Weight=75.000000)","(RaceTemplate=""Race_DarfariFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Hyborian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Hyborian_Name"", ""Hyborian Alchemist I"")","(RaceTemplate=""Race_HyborianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyborianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Hyrkanian,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Hyrkanian_Name"", ""Hyrkanian Alchemist I"")","(RaceTemplate=""Race_HyrkanianMale"",Weight=75.000000)","(RaceTemplate=""Race_HyrkanianFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Kushite,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Kushite_Name"", ""Kushite Alchemist I"")","(RaceTemplate=""Race_KushiteMale"",Weight=75.000000)","(RaceTemplate=""Race_KushiteFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
Black_Hand_Alchemist_1_Nordheimer,"NSLOCTEXT("""", ""SpawnDataTable_Black_Hand_Alchemist_1_Nordheimer_Name"", ""Nordheimer Alchemist I"")","(RaceTemplate=""Race_NordheimerMale"",Weight=75.000000)","(RaceTemplate=""Race_NordheimerFemale"",Weight=25.000000)","(""BlackHand_Armor_Alchemist_Low"",""Generic_Weapon_Alchemist"")","Alchemist_1","All Thralls Base","(""Blackhand_Mods"")","","/Game/Characters/NPCs/Humanoid/HumanoidNPCCharacter.HumanoidNPCCharacter_C","/Game/Systems/AI/NewAI/BT_SimpleAttack.BT_SimpleAttack","/Game/Systems/AI/NewAI/HumanAIController.HumanAIController_C","/Game/Systems/AI/BP_DefaultNPCBehaviorParameters.BP_DefaultNPCBehaviorParameters_C","(DataTable=DataTable'/Game/Systems/Loot/TableSetup/P_M_Blackhand_T1.P_M_Blackhand_T1',RowName="""")","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
